Vib_acpe,Vib_axial,Vib_base
17.34314,0.6988525,14.63318
18.28003,0.6256104,15.67383
18.28308,0.5615234,13.54675
16.66565,0.4608154,9.951782
14.5874,0.3845215,7.669067
11.97205,0.2532959,5.142212
9.146118,0.09765625,2.655029
6.973267,-0.04272461,0.02441406
4.885864,-0.1922607,-0.4638672
2.957153,-0.3143311,-0.6317139
0.6561279,-0.4364014,-1.300049
-1.992798,-0.5340576,-2.401733
-4.974365,-0.5584717,-2.49939
-7.672119,-0.6225586,-3.582764
-10.58655,-0.5950928,-5.178833
-12.87231,-0.604248,-7.202148
-14.48669,-0.6011963,-8.999634
-15.3656,-0.5523682,-10.3241
-16.29333,-0.4943848,-12.01477
-16.9281,-0.4089355,-13.99536
-16.72363,-0.3234863,-13.16833
-16.44592,-0.27771,-12.10632
-15.15808,-0.2044678,-9.725952
-12.09412,-0.1281738,-7.022095
-8.48999,0,-3.887939
-3.787231,0.1647949,-0.2227783
0.6774902,0.4058838,2.334595
3.897095,0.5340576,3.55835
7.217407,0.6866455,6.570435
10.34851,0.7476807,9.979248
12.91809,0.7751465,12.61597
15.43579,0.7598877,14.08691
16.94336,0.7202148,14.34631
17.9657,0.6256104,14.78271
18.47229,0.579834,13.68103
17.01355,0.4760742,10.12268
15.13367,0.3723145,8.074951
12.78687,0.2746582,6.082153
9.814453,0.1220703,3.07312
7.501221,-0.01525879,0.5767822
5.529785,-0.1678467,-0.7598877
3.585815,-0.2868652,-1.443481
1.751709,-0.4119873,-1.635742
-1.022339,-0.5249023,-2.200317
-3.826904,-0.567627,-2.142334
-6.585693,-0.6195068,-2.938843
-9.356689,-0.6500244,-4.824829
-11.79504,-0.6134033,-6.277466
-13.68408,-0.6469727,-8.691406
-15.07874,-0.5859375,-10.42175
-15.73792,-0.5462646,-12.1582
-16.87927,-0.4669189,-13.09509
-16.48865,-0.3845215,-13.36365
-16.38184,-0.3265381,-12.64038
-15.26489,-0.2838135,-10.51331
-12.53357,-0.1739502,-7.522583
-9.213257,-0.04882813,-5.209351
-5.148315,0.1251221,-1.287842
0.1861572,0.3204346,1.672363
3.485107,0.4669189,3.494263
6.845093,0.6317139,6.332397
9.902954,0.7232666,9.262085
12.37488,0.7598877,11.34033
14.94446,0.7507324,13.21106
16.78467,0.7110596,14.12659
17.61169,0.6561279,14.38293
18.54858,0.5432129,14.12354
17.73682,0.4608154,11.2854
15.76233,0.3845215,9.011841
13.50708,0.27771,6.195068
10.37292,0.1159668,3.393555
8.035278,-0.0213623,1.119995
6.204224,-0.1312256,-0.4608154
4.031372,-0.27771,-0.9368896
2.487183,-0.3692627,-1.235962
-0.05187988,-0.479126,-2.090454
-2.868652,-0.5218506,-2.035522
-5.718994,-0.5462646,-2.130127
-8.660889,-0.6011963,-4.53186
-11.01379,-0.5767822,-5.886841
-13.04016,-0.5645752,-7.644653
-14.67285,-0.5554199,-9.9823
-15.49072,-0.4974365,-11.96594
-16.60156,-0.4760742,-13.35754
-16.70227,-0.3875732,-13.14392
-16.53137,-0.3265381,-12.77771
-16.14075,-0.2838135,-11.09924
-13.63831,-0.2197266,-8.462524
-10.43091,-0.112915,-5.599976
-6.515503,0.03356934,-1.852417
-1.446533,0.2746582,1.229858
2.46582,0.4211426,2.902222
5.801392,0.6164551,5.444336
9.164429,0.7171631,8.99353
11.4502,0.7843018,11.09924
14.13574,0.7843018,12.81128
16.37878,0.7507324,14.5752
17.49268,0.680542,15.40833
18.37769,0.5859375,15.42053
18.09692,0.4852295,12.27722
16.15295,0.4119873,9.542847
14.18457,0.3051758,7.104492
11.24268,0.2044678,4.53186
8.486938,0.03662109,2.590942
6.744385,-0.100708,0.7293701
4.721069,-0.2441406,-0.1831055
3.076172,-0.3448486,-0.2471924
0.9063721,-0.4058838,-1.394653
-1.852417,-0.491333,-2.029419
-4.53186,-0.5096436,-1.443481
-7.513428,-0.5401611,-2.844238
-10.28442,-0.5401611,-5.041504
-12.51831,-0.5645752,-6.817627
-14.23645,-0.5523682,-9.481812
-15.26489,-0.50354,-11.00159
